"","28(40%)","41(60%)","55(80%)","69(100%)","174(two tissues)"
"cross-validation 1",0.266261721643605,0.246849228370008,0.233905020194688,0.226007838255445,0.225206603486477
"cross-validation 2",0.26291107540167,0.248317866414315,0.241549633695468,0.23685913672726,0.235651325073184
"cross-validation 3",0.262282529358002,0.246664124312609,0.230968725548081,0.225540644397226,0.224933865065893
"cross-validation 4",0.268417114112241,0.250578299700844,0.240380861460533,0.231775340995093,0.229102313933454
"cross-validation 5",0.245226154783522,0.231825969282539,0.223648285654066,0.219437692734983,0.217507789901435
