"","10","100","1000","1476(GO)","6956(all)"
"cross-validation 1",0.517446930009096,0.568612110830433,0.594783177550031,0.6148739948301,0.631574402387404
"cross-validation 2",0.456865043692054,0.468212490517451,0.497231448420779,0.544662082425165,0.573758059131254
"cross-validation 3",0.535429519975522,0.589115204220274,0.61117966953487,0.630954899843956,0.659254794670259
"cross-validation 4",0.522048760782616,0.599711629521076,0.605494073586894,0.631298133829152,0.655537102623719
"cross-validation 5",0.543795161905281,0.585782355646329,0.607363289177383,0.632402523140978,0.654808346541135
