"","Proteome","Site-specific","Cross-tissue","Multi-site"
"cross-validation 1",0.322560696015067,0.329587572815219,0.467456949730368,0.474392837684237
"cross-validation 2",0.226731412242911,0.29958424654318,0.341103451900931,0.345491783850368
"cross-validation 3",0.373455611310459,0.351787000032964,0.491265528391186,0.497248258435503
"cross-validation 4",0.328320745256496,0.424664647635432,0.511374309779664,0.521541627694461
"cross-validation 5",0.282497928337085,0.379342061875886,0.411788467196306,0.414625016226051
