"","10","100","1000","1476(GO)","6956(all)"
"cross-validation 1",0.386599009730486,0.35618764163132,0.344157320951475,0.340998381910549,0.336230180731443
"cross-validation 2",0.35177570436071,0.346314400332409,0.337494531065853,0.326702184817938,0.328264548767877
"cross-validation 3",0.379510699101531,0.344276671128254,0.334909380481094,0.326917444980321,0.323678147445404
"cross-validation 4",0.347089318225636,0.336729834058976,0.327810574793332,0.322200069401206,0.31766077573402
"cross-validation 5",0.35096819447406,0.343616167263843,0.33710527921125,0.328621354332988,0.327183625445725
