"","28(40%)","41(60%)","55(80%)","69(100%)","174(two tissues)"
"cross-validation 1",0.563716361007331,0.595176156710173,0.619626488824506,0.631574402387404,0.632338988927016
"cross-validation 2",0.480542341460737,0.528779735388207,0.557125587172805,0.573758059131254,0.57641309537288
"cross-validation 3",0.593681868490989,0.617866899101703,0.651969817533862,0.659254794670259,0.66077415424797
"cross-validation 4",0.586566894072509,0.619961657792722,0.64310506059138,0.655537102623719,0.66177758220873
"cross-validation 5",0.620152828961023,0.637429808805853,0.652164063691654,0.654808346541135,0.65788718563659
