"","Proteome","Site-specific","Cross-tissue","Multi-site"
"cross-validation 1",0.398051191414189,0.226007838255445,0.232072882795068,0.232579827485918
"cross-validation 2",0.436234329577087,0.23685913672726,0.246262324162446,0.249329494885308
"cross-validation 3",0.427325414490674,0.225540644397226,0.235508168484821,0.235839431651567
"cross-validation 4",0.360194767657,0.231775340995093,0.230933247459996,0.231289579651859
"cross-validation 5",0.37047994593485,0.219437692734983,0.222411705520453,0.222525500118447
