"","Proteome","Site-specific","Cross-tissue","Multi-site"
"cross-validation 1",0.463058775453677,0.336230180731443,0.338158730001614,0.337827571362667
"cross-validation 2",0.430742025827389,0.328264548767877,0.316368416147141,0.314953681743445
"cross-validation 3",0.438255189773085,0.323678147445404,0.307468941625237,0.306025091053908
"cross-validation 4",0.420325077664813,0.31766077573402,0.313411450140506,0.313141385580406
"cross-validation 5",0.425838408888403,0.327183625445725,0.320339667041381,0.319754858809538
