"","28(40%)","41(60%)","55(80%)","69(100%)","174(two tissues)"
"cross-validation 1",0.206539192326558,0.279591048338949,0.313097359253779,0.329587572815219,0.412816590239669
"cross-validation 2",0.152978829666383,0.228241746846393,0.281283233627015,0.29958424654318,0.313858269193213
"cross-validation 3",0.21183839271683,0.220344398296789,0.268962403579443,0.351787000032964,0.394002128019194
"cross-validation 4",0.284790288340458,0.321728848976685,0.383528878122485,0.424664647635432,0.475923576743135
"cross-validation 5",0.243491292669879,0.290794094449582,0.320657352622074,0.379342061875886,0.385526676700296
