"","Proteome","Site-specific","Cross-tissue","Multi-site"
"cross-validation 1",0.341741895017877,0.631574402387404,0.675270628854699,0.677379474104016
"cross-validation 2",0.327703413445856,0.573758059131254,0.616579664361857,0.607705552354405
"cross-validation 3",0.31318495787329,0.659254794670259,0.690833665066386,0.699737284944868
"cross-validation 4",0.313727588029741,0.655537102623719,0.682200747447848,0.69420718886767
"cross-validation 5",0.301066691574512,0.654808346541135,0.671887756710797,0.681193210877193
