"","10","100","1000","1476(GO)","6956(all)"
"cross-validation 1",0.249799706207988,0.241379283452795,0.236649585852428,0.231111797049211,0.226007838255445
"cross-validation 2",0.268572812684788,0.261724598207921,0.253999259373293,0.245677866857747,0.23685913672726
"cross-validation 3",0.266834963328351,0.246634731388968,0.241075070862846,0.232330694759053,0.225540644397226
"cross-validation 4",0.259229204976693,0.237076505847465,0.241441495080283,0.237118942170247,0.231775340995093
"cross-validation 5",0.245098915197319,0.231047083854285,0.229942904847141,0.224632259860882,0.219437692734983
